,delta_da,label,counts,score,dC,dH,dN,dO
189,108.02112936806,C+6 H+4 O+2,"{'C': 6, 'H': 4, 'O': 2}",108.02112936806,6,4,0,2
190,110.03677943252,C+6 H+6 O+2,"{'C': 6, 'H': 6, 'O': 2}",110.03677943252,6,6,0,2
191,112.01604398763,C+5 H+4 O+3,"{'C': 5, 'H': 4, 'O': 3}",112.01604398763,5,4,0,3
192,113.99530854274,C+4 H+2 O+4,"{'C': 4, 'H': 2, 'O': 4}",113.99530854273999,4,2,0,4
193,114.03169405209,C+5 H+6 O+3,"{'C': 5, 'H': 6, 'O': 3}",114.03169405209,5,6,0,3
194,116.0109586072,C+4 H+4 O+4,"{'C': 4, 'H': 4, 'O': 4}",116.0109586072,4,4,0,4
195,118.02660867166,C+4 H+6 O+4,"{'C': 4, 'H': 6, 'O': 4}",118.02660867166,4,6,0,4
196,122.03677943252,C+7 H+6 O+2,"{'C': 7, 'H': 6, 'O': 2}",122.03677943252,7,6,0,2
197,126.03169405209,C+6 H+6 O+3,"{'C': 6, 'H': 6, 'O': 3}",126.03169405209,6,6,0,3
198,128.0109586072,C+5 H+4 O+4,"{'C': 5, 'H': 4, 'O': 4}",128.0109586072,5,4,0,4
199,130.02660867166,C+5 H+6 O+4,"{'C': 5, 'H': 6, 'O': 4}",130.02660867166,5,6,0,4
